,Player,Battles_R,Rank,Winrate_R,Avg.frags_R,Avg.damage_R
5758,NovaMagician,121,5,56.2,0.65,47626
5758,kbz00n,137,3,56.2,0.6,56632
5758,Axis_of_Advance,121,5,56.2,0.86,64894
5758,Cap_Branigan,121,5,56.2,1.14,81130
5758,PvtSirPeter,121,4,56.2,0.83,63034
5758,IshtarK,137,4,56.2,1.12,77214
5764,RNRAGE,105,5,56.19,0.71,42395
5764,ranxfromindy,105,6,56.19,0.64,25274
5764,TanakaR,194,1,56.19,0.6,27746
5764,Healthy_Left,105,5,56.19,0.67,56050
5764,seth4bucks,105,6,56.19,0.57,32226
5769,Muffy,89,5,56.18,0.79,47909
5769,Caioerdmann,89,5,56.18,0.84,74415
5769,WLsoundman,89,5,56.18,1.15,58736
5772,Lighthorse_,73,8,56.16,0.49,38073
5772,SiegeCrafts,146,1,56.16,0.88,48434
5772,HomieBrosephMcBro,219,1,56.16,0.6,52211
5772,Mr_DH,73,7,56.16,0.74,62688
5772,x_gandalf,73,8,56.16,0.64,43146
5772,trucker_720,73,7,56.16,0.64,64281
5772,longyuzhou,73,7,56.16,0.97,75840
5772,WarLordPig,146,5,56.16,0.5,47881
5780,lkaspian,187,3,56.15,1.09,68796
5780,heinkell71,130,4,56.15,0.9,52496
5782,ProSTEELRAIN,57,8,56.14,0.82,80083
5782,Nanami_Arihara,57,7,56.14,1.21,73474
5782,WolverineS13,171,3,56.14,0.64,42724
5782,UnsinkableFreakingSam,57,9,56.14,0.58,45181
5782,Caliban_,114,5,56.14,0.61,54650
5782,B4Twilight,57,8,56.14,0.53,31737
5782,Commander_Rhames,57,9,56.14,0.47,31928
5782,David_mirror,171,1,56.14,0.71,43884
5782,CaptainZibster,57,8,56.14,0.6,52305
5782,Captain_Kirk_2019,57,8,56.14,0.46,48964
5792,HansKretschmer,155,3,56.13,0.72,48540
5793,sruan11,98,5,56.12,0.78,44888
5793,AdagakiAki,139,3,56.12,0.8,65887
5793,Hiicantpk,98,5,56.12,0.74,36483
5796,Senkan_Musashi,41,10,56.1,0.68,49750
5796,jaxmthemirc,123,5,56.1,0.67,42888
5796,Ryudo,41,10,56.1,0.49,33067
5796,__o,41,10,56.1,0.51,34132
5796,Effervescing_Elephant,123,5,56.1,0.73,44540
5796,MannyNH,41,10,56.1,0.61,47430
5796,Naioht,41,9,56.1,0.71,67761
5796,Really777,205,1,56.1,0.7,56958
5796,SDP452,82,6,56.1,0.7,38106
5796,WachtamRhein,41,10,56.1,0.54,59901
5796,Danboony,41,9,56.1,0.46,44011
5796,FluffyBunnyBrigade,41,9,56.1,0.85,56268
5796,Justin1533,41,10,56.1,0.63,59136
5796,CHAdmiral,41,9,56.1,0.59,39710
5796,SHEZARD_dragonCHIELAN,82,7,56.1,0.71,56052
5796,SMichaelxs,41,9,56.1,0.71,61329
5796,weezer808,41,10,56.1,0.39,36018
5796,tehammer,41,9,56.1,0.73,46588
5796,ToiletMint,41,9,56.1,0.34,23660
5796,jotaerrebomba,41,8,56.1,0.63,50754
5796,SavageCentipede,41,9,56.1,0.68,58738
5796,ExtremChupe,41,9,56.1,0.73,55758
5796,Landriuslan,41,9,56.1,0.78,64507
5796,Viking_602,82,7,56.1,0.48,39581
5796,Zavage01,82,8,56.1,0.55,33365
5796,TORDODAM,82,7,56.1,0.67,33864
5796,sercal,41,10,56.1,0.95,63022
5796,Hail_Hydro,41,9,56.1,0.95,57879
5796,Mugcha,41,9,56.1,1.05,72499
5796,LuteiFos,82,7,56.1,0.72,52980
5796,yuyupo,82,5,56.1,0.85,46500
5796,killjoy5545,41,9,56.1,0.51,46032
5796,Moto_SG,41,8,56.1,0.88,60520
5796,Lord_Kornington_the_LXIX,41,9,56.1,0.85,53010
5796,David_gaston120,41,9,56.1,0.44,31776
5796,Admiral_Lawrenson,123,6,56.1,0.76,65463
5796,Siskoo09,41,9,56.1,0.66,50299
5796,YAGIYAparadise,41,10,56.1,0.71,52187
5796,b_h_waayenberg,41,10,56.1,0.37,33459
5796,MersennePrime8,123,5,56.1,0.62,29143
5836,ozzy_wazzy,148,4,56.08,0.78,56501
5836,sotavento,148,4,56.08,0.6,34406
5836,Captain_Bawls,148,4,56.08,0.64,48425
5839,HMGKPred,107,5,56.07,0.76,58041
5839,Femennenly,173,3,56.07,0.86,68073
5839,CapitanComeGatos,107,6,56.07,0.78,60277
5839,Acheron13,107,5,56.07,0.66,59581
5839,Th4nKy0U_,107,5,56.07,0.79,51475
5844,infestedshadow,66,8,56.06,0.77,58150
5844,guapoh87,132,5,56.06,0.73,50762
5844,like_who_cares,66,9,56.06,0.73,62711
5844,RavenMia,66,8,56.06,0.41,38363
5844,Rageapotomus,66,8,56.06,0.71,53489
5844,CHAPU2000,198,3,56.06,0.63,58092
5844,Tokyo_2020,66,9,56.06,0.5,27440
5851,OriGummy,157,3,56.05,0.76,51684
5851,sergeantpsycho84,248,1,56.05,0.73,54178
5853,roboguy,91,7,56.04,0.41,42219
5853,TheFosta,91,5,56.04,0.79,55063
5853,Mojo380,91,6,56.04,0.73,48417
5853,KievRexOMG,182,1,56.04,0.79,58057
5853,Atbehel,91,7,56.04,0.93,65621
5853,Graf__Zepplin,91,6,56.04,0.8,62356
5853,Cerberus760,91,6,56.04,0.69,50891
5860,JohnDeere9999,141,5,56.03,0.75,50800
5860,kfowkes5,141,4,56.03,0.87,67672
5862,Blackphantom69,166,1,56.02,0.96,46355
5862,IN_GENERAL,216,3,56.02,0.79,55328
5862,Max__Powers,166,5,56.02,0.56,28577
5865,neelm3,50,9,56,0.76,48292
5865,HuffnDoback,100,5,56,0.88,52254
5865,2011Mustang5oh,25,10,56,0.32,49047
5865,Wishmasteur,25,10,56,0.84,45966
5865,TheRealHitman,25,10,56,0.8,56243
5865,Schmokn,25,11,56,0.32,21614
5865,tabbyy,25,10,56,1.04,43096
5865,twistshock,25,10,56,0.96,50559
5865,Tankherolegend225,25,9,56,0.92,73613
5865,Nigel_Thunderwood,150,4,56,0.68,46269
5865,ardisian,25,10,56,0.44,54223
5865,IJN_Arashi,50,10,56,0.42,37515
5865,_Koss,25,10,56,0.68,40886
5865,OwangeSquid,50,8,56,0.94,64503
5865,Ravenclaw211,25,10,56,1.0,73089
5865,D3ntos,50,8,56,0.6,31607
5865,Drewkor,25,10,56,0.68,38184
5865,NireSumika,25,10,56,0.48,48141
5865,warriormax_2013,25,9,56,0.68,43783
5865,St1le,25,10,56,0.44,50581
5865,CaptClanky,50,9,56,0.8,56666
5865,kaly85,25,10,56,0.52,29936
5865,redguns_99,50,9,56,0.9,68508
5865,HMCS_Juno,25,9,56,1.6,90472
5865,MacroAgression,25,10,56,1.04,63363
5865,panzer1940_2014T,25,10,56,0.2,30490
5865,panzerlized,25,11,56,0.6,59361
5865,TheLastAmerican,50,8,56,0.9,70146
5865,fabarcacl,25,10,56,0.6,49760
5865,tank_buster1314,25,11,56,0.6,68222
5865,Duckwinn1,25,11,56,0.44,26764
5865,sniperboy69,25,10,56,0.48,54388
5865,operativebook,25,10,56,0.92,43592
5865,hatake_hiyoshi,150,3,56,1.03,62405
5865,M00N707,25,10,56,0.72,64145
5865,MrDurma,25,9,56,0.32,43261
5865,GianNOSS,25,10,56,1.0,72198
5865,Paranoia777,100,9,56,0.28,33287
5865,tigertedfred,25,10,56,0.52,30526
5865,Comando_212,25,9,56,0.8,64383
5865,Sterron,25,11,56,0.92,67344
5865,Capt_Ghengis_Khan,25,10,56,0.48,32699
5865,725defender,25,10,56,1.12,86022
5865,South_Timeline,75,7,56,0.91,69614
5865,Dewdrop007,25,10,56,0.92,62523
5865,roadrashburns,25,10,56,0.56,24988
5865,117churro,100,7,56,1.08,72909
5865,Willdaboss17,50,9,56,0.58,44500
5865,HARAKAZAN,25,10,56,0.6,51424
5865,LudwigPrinz,75,8,56,0.77,59316
5865,LOKLegenD115,25,8,56,0.84,63459
5865,Joe_Ye,25,9,56,1.24,85091
5865,RYANAW115,175,1,56,0.68,36489
5865,HitTheAfterburners,125,3,56,0.69,56491
5865,Big_525,50,10,56,0.54,58031
5865,barca19,200,3,56,0.73,63659
5865,Ezeg_10,25,10,56,0.6,55412
5865,AmbiguousHotDog,25,9,56,0.8,60039
5865,BowBonk,75,5,56,0.91,57793
5865,purpleman001,25,10,56,0.8,63777
5865,jondoom,25,10,56,0.88,69054
5865,zubalkabir,75,6,56,0.59,57482
5865,kimdohyung2002,25,10,56,0.56,54564
5865,GR00K,25,10,56,0.88,59926
5865,Stanczykovski,50,9,56,0.78,60817
5865,EFTK_GuGuDan,150,5,56,0.85,66891
5865,gtrqw3rty234,25,11,56,1.04,50235
5865,Bait_boy,25,10,56,0.6,42464
5865,EmotionC,25,10,56,0.72,69272
5865,UL6969,50,8,56,0.58,62544
5865,Genesis_74,25,10,56,0.56,44494
5865,Ibn__Sabat,25,10,56,0.72,72768
5865,CTM2_SW,50,9,56,0.7,54342
5865,LeBoooty,25,10,56,0.92,56234
5865,mayson8795,25,10,56,0.76,55404
5865,Tiberiux_117,25,9,56,1.08,85718
5865,Baalzephonum,50,8,56,0.72,68575
5865,EggsAndRofls,25,9,56,0.96,47675
5865,Bekkamore,75,8,56,0.65,54009
5865,little_bacon_tree,50,9,56,0.58,47283
5865,Barba_calva,25,9,56,0.96,68055
5865,FutaFan,25,9,56,0.88,42601
5865,BlessedSigmar,75,7,56,0.67,61343
5865,PenetrateMeSenpai,25,10,56,1.04,94316
5865,jimi277,25,10,56,0.48,41190
5865,M1A2C,25,9,56,1.04,79707
5865,Marinheiro_BC,25,9,56,0.36,35704
5865,ElaineElaine,25,10,56,0.96,57261
5865,Spark_TC,25,9,56,1.12,72227
5865,JAMESLIUfangli,50,9,56,0.46,50125
5865,Almifi,100,6,56,0.81,43868
5865,Fordo_77,25,10,56,0.84,67493
5865,RAMZESSSJPJ,50,10,56,0.58,54060
5958,Farting_Chick,184,1,55.98,0.9,66990
5959,formalsky,159,3,55.97,0.85,69022
5960,I_Dindu_Nuffin,84,6,55.95,0.99,72906
5960,xVirus_US,84,7,55.95,0.67,42634
5960,capitannemo45,84,8,55.95,0.43,29158
5960,AJA_1605,168,1,55.95,0.77,48712
5960,Joe_Bid3ns_Cucumber,84,6,55.95,0.81,33597
5965,wing_zero1919,202,4,55.94,0.63,54479
5965,AyejayDee,143,5,55.94,0.67,50846
5967,Major_Ken,59,8,55.93,0.66,38641
5967,vadupleix,177,1,55.93,0.86,66214
5967,Flint66,59,8,55.93,0.68,31409
5967,kracos26,59,9,55.93,0.73,47659
5967,Vigirebs,118,5,55.93,0.97,54540
5967,pipecorales,59,9,55.93,0.88,60501
5967,riichnor999,59,8,55.93,0.93,52191
5967,DrPez_1,59,9,55.93,0.71,65423
5967,crazyamerican_1,59,9,55.93,0.64,63502
5967,Luis_Sanchez_Commander,59,7,55.93,0.64,55464
5967,Cain_CL,59,8,55.93,0.59,55842
5967,Stupid_NA_Player,118,6,55.93,0.81,69107
5979,joakiito,93,6,55.91,0.69,58053
5979,1DeathStalker3,127,5,55.91,0.76,49630
5979,marvin2015,93,6,55.91,0.76,62616
5979,PredatorDragon,93,5,55.91,0.67,56527
5979,Slysix,127,7,55.91,0.84,61198
5979,BDK_21,127,5,55.91,0.51,40279
5979,Brizawnyman,127,3,55.91,0.87,53222
5979,nooblala,186,1,55.91,0.64,58120
5979,BingBongBrian,186,1,55.91,0.69,43623
5979,HatelfulRusian,93,6,55.91,0.77,65808
5979,Bondarenko_2019,93,7,55.91,0.7,43458
5990,xXBOOMYXx25,161,1,55.9,0.88,66351
5991,Fides,68,8,55.88,0.78,53776
5991,Danilovz,34,10,55.88,0.94,56027
5991,TwinCitieZ,136,5,55.88,0.74,59878
5991,RyanSkjelmose,34,10,55.88,0.29,45559
5991,MaxViking,34,9,55.88,0.56,41717
5991,Stolp,34,9,55.88,0.85,61965
5991,shrimpy1,170,3,55.88,0.54,35338
5991,Badger55,34,10,55.88,0.65,40919
5991,seandf,34,9,55.88,0.97,67157
5991,swn417,34,9,55.88,0.62,61519
5991,Ian_hawk,34,10,55.88,0.56,46449
5991,jeff_168,34,10,55.88,0.59,55694
5991,Ageujcs,68,8,55.88,0.74,50212
5991,SticKy_Gr33n,136,5,55.88,0.68,45861
5991,FlandrexCirno,102,5,55.88,0.73,61098
5991,LoneStarActual,34,11,55.88,0.65,56924
5991,villyye,34,10,55.88,0.71,74736
5991,Sink_them_DEEP,34,9,55.88,0.53,30719
5991,IFlyDrone,34,10,55.88,0.62,42129
5991,Hunter1371,34,10,55.88,0.71,56949
5991,Wild_Rose_2016,34,9,55.88,0.32,21245
5991,Herr_Raeder,68,7,55.88,0.68,42151
5991,Owep,34,6,55.88,1.0,70408
5991,Covemin,34,8,55.88,1.0,70181
5991,RisingSoldier45,68,8,55.88,0.81,58799
5991,CHANEHQUE,34,9,55.88,0.94,65872
5991,XAKTOSH,34,10,55.88,0.5,48178
5991,quebecoldman,34,10,55.88,0.44,24499
5991,USARMYCORPORAL,34,10,55.88,0.47,41834
5991,Solobox,34,8,55.88,0.65,56603
5991,sirbronza,34,12,55.88,0.56,38498
5991,NoTimeRichi,34,10,55.88,0.79,60963
5991,Ken_Kwan,34,8,55.88,0.82,54613
5991,MUMIA_2019,34,9,55.88,0.56,58813
5991,1009347672,34,9,55.88,0.85,74432
5991,AquaOrenji,34,10,55.88,0.59,47563
5991,zz389225,34,9,55.88,0.38,51489
5991,Mizzou__,34,9,55.88,1.35,78706
5991,supersonictransport,68,8,55.88,0.51,39703
5991,jaimito97_1,34,10,55.88,0.41,47134
6031,_Alemao_,145,1,55.86,0.81,50539
6031,immario282,111,5,55.86,0.8,58509
6031,Limss,256,1,55.86,0.6,42847
6031,12Idiot_AnotherSide,145,4,55.86,0.71,62437
6031,XXPanther,111,5,55.86,0.62,54853
6031,DrBigler,145,2,55.86,1.26,76098
6037,AugustusC,188,1,55.85,0.55,36569
6037,o2uk,188,1,55.85,0.66,40775
6039,Eruedraith,231,1,55.84,0.68,39755
6039,legendofsniper,77,7,55.84,0.69,57060
6039,Lman54,231,3,55.84,0.67,54244
6039,WaskawyWabb1t,77,8,55.84,0.92,72234
6039,Yuchen_Zhou,77,7,55.84,0.6,55106
6039,Rabbican,77,7,55.84,0.66,54915
6039,Shadow_Storm419,77,6,55.84,0.99,73779
6039,TexasTurkey,77,5,55.84,1.06,76724
6047,Goodtimez,163,5,55.83,0.54,49928
6047,amazinglyaverage,120,6,55.83,0.81,53961
6047,jawn666,120,6,55.83,0.61,46138
6047,fiship,163,1,55.83,0.83,41491
6047,_darkflame,120,4,55.83,0.79,50608
6052,brn4meplz,86,6,55.81,0.64,60117
6052,JP4DE,43,9,55.81,0.67,49422
6052,hcdarksoul,43,9,55.81,0.49,52072
6052,Vuduvince,43,9,55.81,0.84,41874
6052,goshtmae,43,7,55.81,0.79,50075
6052,CroweTRobot,43,9,55.81,0.93,63546
6052,ol_55,86,8,55.81,0.55,43800
6052,OmegaLeader,43,9,55.81,0.74,65539
6052,Ampzero1,43,8,55.81,1.07,51921
6052,Legbone,86,7,55.81,0.79,49230
6052,sulghunter331,129,5,55.81,0.67,56024
6052,wibelon,86,5,55.81,1.01,55005
6052,Savemerngeebus,43,8,55.81,1.02,74022
6052,RadDisconnect,43,9,55.81,0.88,63809
6052,00_Fate_00,43,9,55.81,0.81,45766
6052,darkar1561,43,9,55.81,0.6,46054
6052,DoubleT13,43,10,55.81,0.63,44337
6052,Lt_havoc,86,6,55.81,0.93,60547
6052,Kipples1130,43,9,55.81,1.0,71191
6052,anubisdeathlord,86,7,55.81,0.95,66611
6052,JeanBaptisteRommel,43,9,55.81,1.0,58094
6052,LadyStilfontein,43,10,55.81,0.3,38406
6052,Your_Lil_Drip,43,11,55.81,0.35,35418
6052,BlueEyedDevil44,43,10,55.81,0.3,22423
6052,jcraw471,43,8,55.81,1.26,67979
6052,WINDOW_shaker,43,9,55.81,1.07,74964
6078,vas7eel,138,4,55.8,0.77,38994
6078,D3uc4li0N,224,1,55.8,1.02,55289
6078,AnonymousSandwich,138,5,55.8,0.83,65484
6081,paladin802,95,5,55.79,0.81,34682
6081,muzamba,95,5,55.79,0.78,40299
6081,garfish2,95,5,55.79,0.85,54381
6081,xXxMALLKUxXx,95,5,55.79,0.63,57500
6081,Pronov,190,2,55.79,0.83,44600
6081,Annc_defender,95,4,55.79,0.54,31885
6081,jansoon2017,190,1,55.79,0.72,56786
6088,madmanthan21,199,1,55.78,0.77,50178
6088,Marril2000,147,1,55.78,0.73,53596
6088,vshzR,147,4,55.78,0.8,59833
6091,Grenadier649,52,9,55.77,0.73,61907
6091,Kaiser8051,52,10,55.77,0.67,58501
6091,tewakenhnhake,156,3,55.77,0.69,57354
6091,Deus_Omnipotent,52,8,55.77,1.06,79776
6091,Kievoc,52,9,55.77,0.48,29166
6091,capt_75,104,6,55.77,0.51,41019
6091,lefty5string,52,8,55.77,0.71,44214
6091,xX_SwiftPotato_Xx,52,9,55.77,0.6,40424
6091,pada66,52,8,55.77,0.56,54522
6091,HAIGUAI,156,1,55.77,0.71,47863
6091,247AutumnWind,52,8,55.77,0.54,49757
6091,Shirahane,208,1,55.77,0.75,59428
6091,snowmanlucky3,52,8,55.77,0.94,61642
6091,tikks,52,7,55.77,0.75,44475
6091,Shokaku_kawaii,52,8,55.77,0.77,70828
6106,julian101801,217,2,55.76,0.82,49731
6107,Captain0442,113,5,55.75,0.65,63742
6107,crazydemon_warrior,113,6,55.75,0.73,56824
6107,BavarianBilge,174,1,55.75,0.61,52422
6110,Shayds,61,7,55.74,0.75,54863
6110,CaptEvul,61,9,55.74,0.62,47037
6110,MM2_Heavy_Metal,122,5,55.74,0.62,46939
6110,Kleonixe,61,8,55.74,0.82,62845
6110,lolhealz,61,9,55.74,0.9,71102
6110,BanDeano,61,8,55.74,0.79,48439
6110,Taferpal,61,9,55.74,0.67,50938
6110,Garnottes,61,9,55.74,0.7,49822
6110,Charred33,61,8,55.74,0.41,32676
6119,RampantQuokka,131,3,55.73,0.81,58879
6119,milkhauler48,131,5,55.73,0.8,56169
6119,HellKnightx31,131,6,55.73,0.78,48527
6119,Alkatrazc90r_j,131,4,55.73,0.73,55281
6119,stylishnoob,192,1,55.73,0.71,44903
6124,Agent822,70,8,55.71,0.71,42989
6124,Buck_Futter_44,70,7,55.71,0.6,32821
6124,steph1973,70,8,55.71,0.81,63543
6124,Krasnaya_Armiya_,70,7,55.71,0.87,53750
6124,Jimador,70,7,55.71,0.77,69226
6124,SirGlossyBaldNuts,70,9,55.71,0.61,41644
6130,jordi_92T,79,8,55.7,0.53,45468
6130,Tyrisfal,149,1,55.7,0.9,39364
6130,GabbertheDabber,79,8,55.7,0.57,53599
6130,AdmiralRektbar,79,7,55.7,0.75,54413
6130,CozMcFly,149,5,55.7,0.65,37746
6130,KlauseCombustible,79,9,55.7,0.82,56061
6130,souldead1939,79,7,55.7,1.05,60764
6137,dogsnotcats,246,1,55.69,0.61,43436
6137,Arturial,167,1,55.69,0.9,69809
6137,curlingcheftrevor_1,167,3,55.69,0.75,38414
6140,MP233,88,6,55.68,0.86,67111
6140,_Bunyan_,88,5,55.68,0.91,60265
6140,CooperRevolution,185,1,55.68,0.72,36781
6140,AlGahara,176,1,55.68,0.73,51949
6140,Procussions,88,6,55.68,0.65,55993
6140,Etnalta,88,7,55.68,0.68,67139
6140,Valkyrie_45,88,5,55.68,0.7,57990
6140,Burequifoquis,185,3,55.68,0.61,26380
6148,idbx,97,6,55.67,0.59,46914
6148,Jwill30Taps,97,7,55.67,0.68,57363
6148,Soggy_Crackers,97,8,55.67,0.54,45738
6148,Enterprise_reborn,97,8,55.67,0.78,37997
6152,Jeffinism,106,5,55.66,0.92,57374
6153,FlyingPoi,124,1,55.65,1.24,76614
6153,ceaspro2,115,6,55.65,0.64,44197
6155,Stella_m,133,5,55.64,0.68,53707
6156,Bears3,160,5,55.63,0.64,39605
6156,mrunknowncomes,142,1,55.63,0.87,54934
6158,Grabthar,187,1,55.61,0.65,47935
6158,Eli_The_Gamer,205,1,55.61,0.92,63353
6160,SARATOGA,18,11,55.56,0.28,66396
6160,Grodgen,36,9,55.56,0.83,41822
6160,MarcusReighn,45,9,55.56,0.76,52074
6160,general_zod,126,6,55.56,0.49,32368
6160,davidtiro,18,10,55.56,0.72,69544
6160,Sawbob,27,10,55.56,1.56,78265
6160,DawgBoy,18,10,55.56,0.67,39210
6160,zomac86,18,10,55.56,0.33,40223
6160,indi64,18,11,55.56,0.5,46450
6160,Bovar,63,8,55.56,0.92,56384
6160,LT_1,27,10,55.56,0.59,51277
6160,icarus39,54,9,55.56,0.65,48942
6160,Daniel_Sc,126,6,55.56,0.79,56195
6160,Corvusthor,18,10,55.56,0.39,47252
6160,Turo,54,8,55.56,0.78,35611
6160,Zilla,18,10,55.56,0.61,42124
6160,Minga,36,9,55.56,0.47,37890
6160,Batsutraz,27,10,55.56,0.74,36229
6160,nate1981,18,11,55.56,0.5,32762
6160,copenhagen82,36,10,55.56,0.44,41636
6160,Outo,18,11,55.56,0.72,49088
6160,sourmash,45,9,55.56,0.51,37271
6160,PraetorianVI,162,4,55.56,0.65,50482
6160,tHeReVoLuTiOn07,27,10,55.56,0.7,65925
6160,DragonArmor,18,11,55.56,0.33,45494
6160,CrzyCanadian76,36,9,55.56,0.42,30448
6160,chancas,27,10,55.56,0.81,44916
6160,ZubZerious,18,10,55.56,0.39,52126
6160,MustangHX,171,3,55.56,1.01,54899
6160,juanigatti,99,6,55.56,1.05,70372
6160,verves2,45,9,55.56,0.71,47244
6160,Mare_in_the_Moon,18,10,55.56,1.06,43454
6160,knightsoftheoldrepublic,18,10,55.56,0.89,64836
6160,KingAttila,18,11,55.56,0.83,57223
6160,PeaceFlaMe,171,5,55.56,0.75,55290
6160,CAPTshipkiller,27,10,55.56,0.37,21207
6160,iljinwoo,126,6,55.56,0.83,61964
6160,1mean13,54,9,55.56,0.69,44864
6160,Derek79,18,10,55.56,0.78,43430
6160,JOLLYNATER,18,11,55.56,0.5,53571
6160,Raven124,54,9,55.56,0.72,41821
6160,thedavidporter,18,11,55.56,0.22,37709
6160,Arrunov,18,11,55.56,0.94,76705
6160,Iloveexplosives,18,10,55.56,0.78,48618
6160,mario6469,18,11,55.56,0.89,45227
6160,Pasternack,27,10,55.56,0.67,35413
6160,CAMPANHOLE1,18,11,55.56,0.78,44849
6160,Sherman_T27,18,11,55.56,0.67,27172
6160,Kooler36,27,10,55.56,0.56,44706
6160,AbeAchilles,18,11,55.56,0.78,57828
6160,CAMERHOGNE,18,10,55.56,0.83,32389
6160,Zanurath,27,9,55.56,0.78,76157
6160,edu4007,27,10,55.56,0.48,36079
6160,DearKnight,117,6,55.56,0.86,58296
6160,Liege_Killer,18,13,55.56,0.94,42340
6160,JAFFA_KREE,36,9,55.56,0.5,34668
6160,stephen48,18,12,55.56,0.67,63717
6160,chippcharr,18,10,55.56,0.56,40700
6160,Mikasa_2014,45,8,55.56,0.84,54147
6160,Hatrick_Swayze,18,10,55.56,0.78,37178
6160,Konrad_Blackburn,18,10,55.56,1.5,87900
6160,Greenie_DD383,18,10,55.56,0.5,30144
6160,bbristow07,18,10,55.56,1.06,55576
6160,Jollyroger95,18,11,55.56,1.06,67525
6160,Bloodx999,18,11,55.56,1.11,44652
6160,Tekum,27,10,55.56,1.0,35561
6160,FaddishPoem920,18,10,55.56,0.67,63344
6160,Nuoar,189,3,55.56,0.9,66446
6160,MercForeHire,27,11,55.56,0.59,36930
6160,Azmodeus82,18,10,55.56,1.28,97211
6160,Metal_Icarus,36,10,55.56,0.47,54203
6160,NCC1201,45,9,55.56,0.76,63362
6160,Super232,18,11,55.56,0.72,62228
6160,imgath_13,36,9,55.56,0.75,42508
6160,Salty_Player,54,8,55.56,0.67,40359
6160,shades007,18,10,55.56,1.44,91375
6160,Tzarevitch,18,10,55.56,0.89,47736
6160,diegoe120,18,10,55.56,0.94,83533
6160,Fericx,18,11,55.56,0.78,56202
6160,HonicTheSedgehog,135,6,55.56,0.75,52638
6160,guilherme490,18,12,55.56,0.5,38337
6160,WVUDuke,81,7,55.56,0.59,43007
6160,clasified3,27,9,55.56,0.59,45031
6160,HiGH_As_HeLL,18,10,55.56,0.61,47437
6160,Warped_1,72,7,55.56,0.83,39915
6160,hel0_,18,10,55.56,0.44,32949
6160,tonytony_33,18,11,55.56,0.44,36331
6160,AdmiralAlex,135,5,55.56,0.62,53862
6160,Marcolino08,18,11,55.56,1.28,71202
6160,XDirtySquidX,18,10,55.56,0.39,34531
6160,GBpirate,117,5,55.56,1.05,57111
6160,Blade_Runner_defender,36,10,55.56,0.89,59359
6160,wty1992,72,6,55.56,1.33,82552
6160,lighthizer,18,10,55.56,0.67,55565
6160,Daysteppr,18,12,55.56,0.78,65998
6160,Jnobsire,135,1,55.56,0.73,63573
6160,Adm_Citadel,45,9,55.56,0.78,47733
6160,DAPoiBOI,63,8,55.56,0.75,56411
6160,Hank_prpr,18,11,55.56,0.89,67681
6160,pug010,45,9,55.56,0.89,59718
6160,Bonfire79,18,10,55.56,1.06,46885
6160,_Nyarlathotep_,27,10,55.56,0.74,33314
6160,Jesse_Oldendorf,36,9,55.56,0.64,55170
6160,Tobiesis,18,12,55.56,0.39,25931
6160,Hectic1,144,1,55.56,0.83,66746
6160,Pterosauria,54,7,55.56,0.67,38518
6160,bebe7598,18,11,55.56,0.33,33250
6160,IgorOfThug,27,10,55.56,0.81,39647
6160,Mieszko11,18,10,55.56,0.56,24655
6160,Donatti16,36,10,55.56,1.14,61935
6160,Feishin,18,10,55.56,1.0,62243
6160,Ununseptium119,54,8,55.56,0.67,49537
6160,Jenisma_M,27,10,55.56,0.89,53748
6160,Ikahime,18,12,55.56,0.33,58165
6160,MiniMonz,18,10,55.56,0.72,47999
6160,iB_ANGLiN,18,11,55.56,0.89,61758
6160,allogonist,54,9,55.56,0.7,59892
6160,334016136jeff,36,9,55.56,0.94,40116
6160,Ajacs,18,12,55.56,0.67,24992
6160,XxCerranoxX,36,9,55.56,0.67,51060
6160,CrazyLancha,27,10,55.56,0.44,42945
6160,Balthaczar,18,12,55.56,0.72,49945
6160,coffee_gaost,18,10,55.56,1.39,63323
6160,DarkLordNomad,27,10,55.56,0.56,43525
6160,warishell_wow,81,5,55.56,1.17,72021
6160,lloyd1701,45,9,55.56,0.6,48431
6160,GrenLorD,45,9,55.56,0.44,40782
6160,Mr_selectively,18,10,55.56,0.61,62305
6160,skilledhunter,63,10,55.56,0.48,44818
6160,aaronvargass,90,5,55.56,0.83,77244
6160,byzantine_falcon,72,8,55.56,0.88,43241
6160,rvasc,27,11,55.56,0.07,31820
6160,Aethelfridd,108,7,55.56,0.75,56851
6160,Middendorff,18,10,55.56,0.5,65293
6160,Chortek,36,9,55.56,0.86,50610
6160,Dandrict,18,10,55.56,0.39,58310
6160,Sitkathefurball,27,10,55.56,0.33,27366
6160,TAPITHARD,27,10,55.56,1.04,54840
6160,Valadares500,45,8,55.56,1.13,76710
6160,SparkyLB,27,10,55.56,1.11,80114
6160,Just_like_you,18,10,55.56,0.61,73310
6160,IDGET111,36,10,55.56,0.61,49656
6160,kevindestroyer98,99,6,55.56,1.1,78930
6160,cheifff11,18,10,55.56,0.33,49392
6160,luckykaos13,18,11,55.56,0.61,37501
6160,Tcup66,18,10,55.56,0.78,43064
6160,Franyer_Bochaga,18,10,55.56,0.28,18466
6160,EnxiSu,27,10,55.56,0.48,43246
6160,Simeano,27,10,55.56,0.96,59528
6160,SoulOfContempt,18,11,55.56,0.44,42832
6160,HavokGamingUWO,18,10,55.56,0.5,54683
6160,IvannaKeelya,45,8,55.56,0.64,46343
6160,Player_3175153547,54,9,55.56,0.65,56878
6160,Bullet911,18,10,55.56,0.5,58563
